game_id,points,swaps,total_cascades,reached_target,stopping_reason,moves_to_10000
0,10045,259,696,True,REACHED_TARGET,259
1,10020,304,818,True,REACHED_TARGET,304
2,10115,301,784,True,REACHED_TARGET,301
3,10005,274,750,True,REACHED_TARGET,274
4,10070,287,755,True,REACHED_TARGET,287
5,10040,274,734,True,REACHED_TARGET,274
6,10260,268,739,True,REACHED_TARGET,268
7,10000,283,781,True,REACHED_TARGET,283
8,10020,264,685,True,REACHED_TARGET,264
9,10020,283,691,True,REACHED_TARGET,283
10,10145,274,784,True,REACHED_TARGET,274
11,10055,275,744,True,REACHED_TARGET,275
12,10050,249,706,True,REACHED_TARGET,249
13,10000,260,746,True,REACHED_TARGET,260
14,10000,270,733,True,REACHED_TARGET,270
15,10030,279,735,True,REACHED_TARGET,279
16,10030,307,764,True,REACHED_TARGET,307
17,10005,307,756,True,REACHED_TARGET,307
18,10010,266,746,True,REACHED_TARGET,266
19,10050,268,695,True,REACHED_TARGET,268
20,10015,293,752,True,REACHED_TARGET,293
21,10005,260,711,True,REACHED_TARGET,260
22,10045,268,755,True,REACHED_TARGET,268
23,10010,280,729,True,REACHED_TARGET,280
24,10005,251,682,True,REACHED_TARGET,251
25,10050,282,765,True,REACHED_TARGET,282
26,10000,242,681,True,REACHED_TARGET,242
27,10045,265,699,True,REACHED_TARGET,265
28,10010,277,724,True,REACHED_TARGET,277
29,10060,295,737,True,REACHED_TARGET,295
30,10030,303,762,True,REACHED_TARGET,303
31,10010,278,735,True,REACHED_TARGET,278
32,10030,277,726,True,REACHED_TARGET,277
33,10000,288,742,True,REACHED_TARGET,288
34,10050,253,738,True,REACHED_TARGET,253
35,10065,265,736,True,REACHED_TARGET,265
36,10050,249,705,True,REACHED_TARGET,249
37,10005,238,705,True,REACHED_TARGET,238
38,10000,237,730,True,REACHED_TARGET,237
39,10010,280,748,True,REACHED_TARGET,280
40,10005,265,690,True,REACHED_TARGET,265
41,10010,306,767,True,REACHED_TARGET,306
42,10015,272,732,True,REACHED_TARGET,272
43,10040,258,736,True,REACHED_TARGET,258
44,10075,278,753,True,REACHED_TARGET,278
45,10020,268,741,True,REACHED_TARGET,268
46,10010,260,672,True,REACHED_TARGET,260
47,10000,257,666,True,REACHED_TARGET,257
48,10000,271,710,True,REACHED_TARGET,271
49,10010,283,757,True,REACHED_TARGET,283
50,10005,255,716,True,REACHED_TARGET,255
51,10040,272,702,True,REACHED_TARGET,272
52,10000,254,692,True,REACHED_TARGET,254
53,10020,291,769,True,REACHED_TARGET,291
54,10045,301,760,True,REACHED_TARGET,301
55,10130,294,741,True,REACHED_TARGET,294
56,10020,284,792,True,REACHED_TARGET,284
57,10000,259,716,True,REACHED_TARGET,259
58,10135,294,751,True,REACHED_TARGET,294
59,10005,291,727,True,REACHED_TARGET,291
60,10000,259,721,True,REACHED_TARGET,259
61,10045,258,707,True,REACHED_TARGET,258
62,10000,258,753,True,REACHED_TARGET,258
63,10005,273,730,True,REACHED_TARGET,273
64,10010,294,763,True,REACHED_TARGET,294
65,10015,262,681,True,REACHED_TARGET,262
66,10040,276,736,True,REACHED_TARGET,276
67,10000,274,744,True,REACHED_TARGET,274
68,10020,257,729,True,REACHED_TARGET,257
69,10020,299,768,True,REACHED_TARGET,299
70,10090,237,675,True,REACHED_TARGET,237
71,10025,317,761,True,REACHED_TARGET,317
72,10055,279,729,True,REACHED_TARGET,279
73,10005,270,727,True,REACHED_TARGET,270
74,10095,262,739,True,REACHED_TARGET,262
75,10005,311,734,True,REACHED_TARGET,311
76,10045,310,817,True,REACHED_TARGET,310
77,10020,262,698,True,REACHED_TARGET,262
78,10010,270,743,True,REACHED_TARGET,270
79,10030,296,783,True,REACHED_TARGET,296
80,10060,302,768,True,REACHED_TARGET,302
81,10055,308,777,True,REACHED_TARGET,308
82,10000,287,727,True,REACHED_TARGET,287
83,10015,276,721,True,REACHED_TARGET,276
84,10005,239,644,True,REACHED_TARGET,239
85,10000,240,682,True,REACHED_TARGET,240
86,10020,329,778,True,REACHED_TARGET,329
87,10055,243,700,True,REACHED_TARGET,243
88,10005,277,777,True,REACHED_TARGET,277
89,10005,289,741,True,REACHED_TARGET,289
90,10040,306,754,True,REACHED_TARGET,306
91,10070,283,787,True,REACHED_TARGET,283
92,10000,273,735,True,REACHED_TARGET,273
93,10015,282,745,True,REACHED_TARGET,282
94,10000,276,718,True,REACHED_TARGET,276
95,10040,285,779,True,REACHED_TARGET,285
96,10025,281,753,True,REACHED_TARGET,281
97,10015,272,739,True,REACHED_TARGET,272
98,10070,260,731,True,REACHED_TARGET,260
99,10030,247,653,True,REACHED_TARGET,247
